"","X","Full Name","Team","Salary ($)","Total Minutes","Appearances","Total Possible Minutes","Appearance Weight","xGoals","Offensive Contribution to Team","Defensive Contribution to Team","Total Expected Player Contribution to Team","EPG"
"134",20,"Rob Vincent","DC",131266.8,66,2,192,0.34375,0.03,0.0971931109323962,0.333333333333333,0.147993465216345,0.256028694824276
"202",1,"Abu Danladi","MN",301000.08,331,10,960,0.344791666666667,0.25,0.346432598222916,0.073170731707317,0.144675731465528,0.250289015435364
"84",3,"Bismark Boateng","COL",NA,113,3,288,0.392361111111111,0,0.0935364593870607,0.275,0.144599374690062,0.250156918213807
"85",21,"Sam Hamilton",NA,130008,108,2,192,0.5625,NA,0.00558636947441679,0.25,0.143767332829359,0.248717485794792
"39",10,"Drew Conner","CHI",131250,287,8,768,0.373697916666667,0.01,0.142805137951513,0.232558139534884,0.140272474789838,0.24267138138642
"486",4,"Brek Shea","VAN",1295000,184,7,672,0.273809523809524,0.21,0.440043405066367,0.0652173913043478,0.138345218053886,0.239337227233223
"246",7,"Daigo Kobayashi","NE",146992,362,8,768,0.471354166666667,0.07,0.130199095036865,0.163265306122449,0.138325668254781,0.239303406080771
"464",1,"Alexander Bono","TOR",NA,1040,12,1152,0.902777777777778,0,0.0531764073338092,0.1,0.1382842566208,0.239231763953984
"404",13,"Nouhou Tolo","SEA",105999.84,42,2,192,0.21875,0,0.214687479856679,0.409090909090909,0.136451522582285,0.236061134067353
"135",2,"Bill Hamid",NA,745500,1170,13,1248,0.9375,NA,0.011826308867605,0.133333333333333,0.13608716456338,0.235430794694647
"86",5,"Caleb Calvert","COL",207500,207,6,576,0.359375,0.08,0.203349453587166,0.175,0.135969334882888,0.235226949347396
"487",13,"Kekuta Manneh","CLB",307250,136,3,288,0.472222222222222,0.09,0.132422027158464,0.152173913043478,0.134392527317584,0.23249907225942
"357",6,"Darren Mattocks","POR",616666.67,279,10,960,0.290625,0.36,0.303768785917186,0.157894736842105,0.134170961301919,0.23211576305232
"176",6,"Brian Rowe",NA,240000,630,7,672,0.9375,NA,0.0237089382822884,0.117647058823529,0.132521247286704,0.229261757805998
"405",18,"Stefan Frei",NA,506250,1350,15,1440,0.9375,NA,0.00498614361628955,0.136363636363636,0.132515418731181,0.229251674404942
"488",8,"David Ousted",NA,738933.33,1013,12,1152,0.879340277777778,NA,0.0418964292202847,0.108695652173913,0.132421682684308,0.229089511043852
"267",20,"Sean Johnson",NA,440016,1350,15,1440,0.9375,NA,0.0458182764767678,0.0952380952380952,0.132240348482684,0.228775802875043
"62",16,"Niko Hansen","CLB",NA,367,12,1152,0.318576388888889,0.21,0.412425714492504,0,0.131389094807942,0.227303134017739
"110",5,"Chris Seitz",NA,306000,270,3,288,0.9375,NA,0.0295639575288148,0.108695652173913,0.129618384096307,0.224239804486612
"154",5,"Andrew Wenger","HOU",420000,344,11,1056,0.325757575757576,0.15,0.216897191456463,0.173913043478261,0.127309394713584,0.220245252854501
"421",15,"Simon Dawkins","SJ",1600000,539,11,1056,0.510416666666667,0.12,0.219822786497076,0.0238095238095238,0.124353991718993,0.215132405673859
"247",11,"Je-Vaughn Watson","NE",305666.67,253,9,864,0.292824074074074,0.03,0.156406035425171,0.26530612244898,0.123487472155278,0.213633326828631
"440",17,"Soni Mustivar","SKC",4e+05,186,11,1056,0.176136363636364,0,0.244644760794433,0.41025641025641,0.115351910810092,0.199558805701459
"136",5,"Chris Odoi-Atsem",NA,137500.08,97,3,288,0.336805555555556,NA,0,0.333333333333333,0.112268518518519,0.194224537037037
"268",21,"Sean Okoli","NYC",105999.84,210,7,672,0.3125,0.3,0.267482889111489,0.0714285714285714,0.105909831418769,0.18322400835447
"382",22,"Ricardo Velazco","RSL",131266.8,239,7,672,0.355654761904762,0.08,0.153572313826366,0.142857142857143,0.105426547838331,0.182387927760313
"203",2,"Bashkim Kadrii","MN",552100,360,8,768,0.46875,0.14,0.170454281104778,0.048780487804878,0.102766297926401,0.177785695412674
"489",20,"Paolo Tornaghi",NA,160000,65,1,96,0.677083333333333,NA,0.0207042175384648,0.130434782608696,0.102333698016307,0.17703729756821
"290",16,"Mike Grella","NYRB",374250,362,8,768,0.471354166666667,0.06,0.135350348300752,0.0769230769230769,0.100055963451857,0.173096816771713
"291",8,"Derrick Etienne","NYRB",111000,376,9,864,0.435185185185185,0.16,0.228644972395368,0,0.0995029046535399,0.172140025050624
"292",14,"Luis Robles",NA,582500,1350,15,1440,0.9375,NA,0,0.102564102564103,0.0961538461538461,0.166346153846154
"16",4,"Brandon Vazquez","ATL",220016,26,3,288,0.0902777777777778,1.16,1,0.0476190476190476,0.0945767195767196,0.163617724867725
"87",7,"Dillon Serna","COL",158200,108,6,576,0.1875,0.15,0.451869439990432,0.05,0.094100519998206,0.162793899596896
"269",15,"Miguel Camargo","NYC",208249.92,176,8,768,0.229166666666667,0.11,0.150947947526275,0.238095238095238,0.0891557300382635,0.154239412966196
"465",12,"Jordan Hamilton","TOR",151415,53,3,288,0.184027777777778,0.29,0.378969322619128,0.075,0.0835429656208812,0.144529330524125
"155",12,"Joe Willis",NA,212625,630,7,672,0.9375,NA,0.000951496133056425,0.0869565217391304,0.0824137667551752,0.142575816486453
"466",3,"Ben Spencer","TOR",NA,60,1,96,0.625,0,0.126518176503399,0,0.0790738603146247,0.136797778344301
"334",14,"Jay Simpson","PHI",973333.33,253,9,864,0.292824074074074,0.18,0.205272771502392,0.05,0.0747500129515106,0.129317522406113
"177",13,"Jack McBean","LA",131250,276,8,768,0.359375,0.06,0.0882086736123768,0.117647058823529,0.0739794038441538,0.127984368650386
"335",17,"Marcus Epps","PHI",106008,7,1,96,0.0729166666666667,0,1,0,0.0729166666666667,0.126145833333333
"406",8,"Henry Wingo","SEA",106008,86,7,672,0.12797619047619,0.03,0.402623539049486,0.159090909090909,0.0718860752084434,0.124362910110607
"204",7,"Collin Martin","MN",169992,38,2,192,0.197916666666667,0.31,0.262968122599698,0.0975609756097561,0.0713547173539544,0.123443661022341
"248",9,"Femi Hollinger-Janzen","NE",108150,115,8,768,0.149739583333333,0.38,0.429386962716741,0.0408163265306123,0.0704080446138614,0.12180591718198
"17",3,"Anton Walkes",NA,106008,66,3,288,0.229166666666667,NA,0.00753959986442134,0.285714285714286,0.0672040154451203,0.116262946720058
"249",19,"Teal Bunbury","NE",475000,116,9,864,0.134259259259259,0.75,0.490160958894394,0,0.0658086472589696,0.113848959758017
"18",6,"Chris McCann","ATL",1108000,162,8,768,0.2109375,0.05,0.216469984631872,0.0952380952380952,0.0657509230975713,0.113749096958798
"156",21,"Tyler Deric",NA,370000,720,8,768,0.9375,NA,0.0020671885014633,0.0652173913043478,0.0630792935679479,0.10912717787255
"250",6,"Cody Cropper",NA,131250,1260,14,1344,0.9375,NA,0.00551885733479926,0.0612244897959184,0.0625718879350478,0.108249366127633
"383",13,"Jose Hernandez","RSL",109383,155,6,576,0.269097222222222,0.07,0.143311892488166,0.0816326530612245,0.0605319523613811,0.104720277585189
"441",3,"Daniel Salloi","SKC",106000,58,7,672,0.0863095238095238,0.55,0.640131936903664,0.0256410256410256,0.0574625473624881,0.0994102069371045
"270",10,"Jonathan Lewis","NYC",195500.08,23,2,192,0.119791666666667,0,0.279448033023315,0.166666666666667,0.0534408234003624,0.092452624482627
"311",11,"Kaka",NA,NA,347,8,768,0.451822916666667,NA,0.0305351308418362,0.0851063829787234,0.0522494860621539,0.0903916108875263
"384",18,"Matt Van Oekel",NA,192000,572,7,672,0.851190476190476,NA,0,0.0612244897959184,0.0521137026239067,0.0901567055393586
"205",3,"Bobby Shuttleworth","MN",326875,1040,13,1248,0.833333333333333,0.01,0.062073307281628,0,0.0517277560680233,0.0894890179976803
"312",16,"Rafael Ramos",NA,201600,26,1,96,0.270833333333333,NA,0.0184418656549744,0.170212765957447,0.0510939627283641,0.0883925555200698
"19",15,"Kevin Kratz","ATL",314250,74,6,576,0.128472222222222,0.08,0.272971985999927,0.119047619047619,0.0503636298151361,0.0871290795801855
"63",20,"Zack Steffen","CLB",210000,1440,16,1536,0.9375,0,0.0228365178003358,0.0285714285714286,0.0481949497235291,0.0833772630217053
"442",2,"Cameron Porter","SKC",182500,21,1,96,0.21875,0.23,0.215208253895579,0,0.047076805539658,0.0814428735836084
"40",18,"Matt Lampson",NA,157375,540,6,576,0.9375,NA,0.0262092369052241,0.0232558139534884,0.0463734851800429,0.0802261293614742
"178",20,"Jose Villarreal","LA",210000,83,4,384,0.216145833333333,0.1,0.0735744975095331,0.137254901960784,0.045569896239678,0.0788359204946429
"137",1,"Alhaji Kamara","DC",168250,14,1,96,0.145833333333333,0.3,0.309186624985842,0,0.0450897161437687,0.0780052089287198
"179",4,"Bradford Jamieson","LA",132300,53,4,384,0.138020833333333,0.26,0.188590479606307,0.137254901960784,0.0449734511017078,0.0778040704059546
"422",6,"David Bingham",NA,387750,1350,15,1440,0.9375,NA,0,0.0476190476190476,0.0446428571428572,0.0772321428571429
"490",18,"Mauro Rosales","VAN",130008,36,3,288,0.125,0,0.318734391306794,0.0217391304347826,0.042559190217697,0.0736273990766159
"180",1,"Ariel Lassiter","LA",108150,4,1,96,0.0416666666666667,1.79,1,0,0.0416666666666667,0.0720833333333333
"313",20,"Tony Rocha","ORL",131241.6,20,2,192,0.104166666666667,0,0.295662753929929,0.0425531914893617,0.0352308276478427,0.0609493318307679
"157",22,"Vicente Sanchez","HOU",130008,179,9,864,0.207175925925926,0.15,0.169706196635322,0,0.0351590384232901,0.0608251364722919
"206",10,"Ismaila Jome","MN",132841.33,158,5,480,0.329166666666667,0,0.0755749545249389,0.024390243902439,0.0329052111490119,0.0569260152877905
"336",1,"Adam Najem",NA,130000.08,19,1,96,0.197916666666667,NA,0.0127836515542646,0.15,0.0322175977034482,0.0557364440269654
"181",14,"Jack McInerney","LA",650000,54,3,288,0.1875,0.04,0.0401496816011116,0.117647058823529,0.0295868888296202,0.0511853176752429
"41",5,"Daniel Johnson","CHI",130008,92,6,576,0.159722222222222,0.14,0.120908548509049,0.0465116279069767,0.0267407226220041,0.0462614501360671
"385",19,"Nick Rimando",NA,920000,868,10,960,0.904166666666667,NA,0.00852334500468096,0.0204081632653061,0.0261589053941133,0.045254906331816
"42",9,"Djordje Mihailovic","CHI",160000.08,34,3,288,0.118055555555556,0.08,0.102143571728852,0.116279069767442,0.0257860062877569,0.0446097908778195
"227",23,"Wandrille Lefevre",NA,199499.84,13,2,192,0.0677083333333333,NA,0.00327543436277039,0.358974358974359,0.0245273297572015,0.0424322804799585
"358",11,"Jack Barmby","POR",130008,62,6,576,0.107638888888889,0.25,0.22198154124859,0,0.0238938464538412,0.0413363543651454
"158",18,"Memo Rodriguez","HOU",106008,40,3,288,0.138888888888889,0.06,0.110530260794425,0.0434782608695652,0.0213900724533319,0.0370048253442642
"271",11,"Khiry Shelton",NA,203400,62,4,384,0.161458333333333,NA,0.00664714690809835,0.119047619047619,0.0202944674199335,0.035109428636485
"182",23,"Raul Mendiola",NA,131250,14,1,96,0.145833333333333,NA,0.000455737042760721,0.137254901960784,0.0200828015213503,0.0347432466319361
"64",1,"Adam Jahn","CLB",185000,219,11,1056,0.207386363636364,0.11,0.0377743525815155,0.0571428571428571,0.0196845349712477,0.0340542455002586
"423",14,"Shea Salinas","SJ",370000,149,7,672,0.22172619047619,0.07,0.0881461892789188,0,0.0195443187538079,0.0338116714440876
"293",11,"Gonzalo Veron","NYRB",1e+06,125,5,480,0.260416666666667,0.03,0.0477520160951203,0.0256410256410256,0.0191127712854547,0.0330650943238366
"20",20,"Mikey Ambrose",NA,131250,17,1,96,0.177083333333333,NA,0.0113684109616806,0.0952380952380952,0.018878235472877,0.0326593473680771
"207",14,"John Alvbage",NA,477746,221,3,288,0.767361111111111,NA,0,0.024390243902439,0.0187161246612466,0.0323788956639566
"314",7,"Hadji Barry","ORL",142062.5,11,3,288,0.0381944444444444,0.36,0.294627749819727,0.191489361702128,0.0185669730095153,0.0321208633064615
"43",4,"Brandt Bronico",NA,130008,29,2,192,0.151041666666667,NA,0,0.116279069767442,0.017562984496124,0.0303839631782946
"228",9,"David Choiniere",NA,108150,5,1,96,0.0520833333333333,NA,0.00218362290851359,0.282051282051282,0.0148039012999894,0.0256107492489816
"88",23,"Tim Howard",NA,4475000,720,8,768,0.9375,NA,0.0142714616024216,0,0.0133794952522703,0.0231465267864276
"229",20,"Nick DePuy",NA,NA,19,2,192,0.0989583333333333,NA,0,0.128205128205128,0.0126869658119658,0.0219484508547009
"44",7,"David Arshakyan","CHI",334850,16,3,288,0.0555555555555556,0.29,0.201734526466586,0,0.0112074736925881,0.0193889294881774
"183",19,"Jon Kempin",NA,NA,90,1,96,0.9375,NA,0.0106127855842891,0,0.00994948648527104,0.0172126116195189
"272",9,"John Stertzer","NYC",130000,39,3,288,0.135416666666667,0,0.0606941784057573,0,0.00821900332577963,0.0142188757535988
"159",13,"Joseph Holland",NA,106008,12,1,96,0.125,NA,0,0.0434782608695652,0.00543478260869565,0.00940217391304348
"111",14,"Mauro Diaz",NA,1664890,38,2,192,0.197916666666667,NA,0.0270099627608582,0,0.00534572179641986,0.00924809870780635
"230",19,"Michael Salazar",NA,108150,33,2,192,0.171875,NA,0.00218034747415082,0.0256410256410256,0.00478179850417095,0.00827251141221575
"273",12,"Kwame Awuah",NA,106008,1,1,96,0.0104166666666667,NA,0,0.142857142857143,0.00148809523809524,0.00257440476190476
"21",8,"Harrison Heath",NA,132300,1,1,96,0.0104166666666667,NA,0,0.119047619047619,0.00124007936507937,0.0021453373015873
"184",15,"Jaime Villarreal",NA,106008,14,3,288,0.0486111111111111,NA,0,0.0196078431372549,0.000953159041394335,0.0016489651416122
"22",2,"Andrew Carleton",NA,142400,4,1,96,0.0416666666666667,NA,1.89441942370938e-06,0,7.89341426545576e-08,1.36556066792385e-07
"112",20,"Ryan Hollingshead",NA,265000,5,3,288,0.0173611111111111,NA,0,0,0,0
"315",15,"Pierre Da Silva",NA,106008,1,1,96,0.0104166666666667,NA,0,0,0,0
"337",15,"Joshua Yaro",NA,324000,19,1,96,0.197916666666667,NA,0,0,0,0
"359",14,"Jeremy Ebobisse",NA,303000,7,1,96,0.0729166666666667,NA,0,0,0,0
"443",20,"Tyler Pasher",NA,106000,46,1,96,0.479166666666667,NA,0,0,0,0
"491",15,"Kyle Greig",NA,131853,2,1,96,0.0208333333333333,NA,0,0,0,0
