"","X","Full Name","Team","Salary ($)","Total Minutes","Appearances","Total Possible Minutes","Appearance Weight","xGoals","Offensive Contribution to Team","Defensive Contribution to Team","Total Expected Player Contribution to Team","EPG"
"447",17,"Nick Hagglund","TOR",209641,989,12,1152,0.858506944444444,0.09,0.20838435015195,1,1.03740635616344,1.79471299616274
"256",5,"David Villa","NYC",11220000,1189,14,1344,0.884672619047619,0.45,1,0.166666666666667,1.03211805555556,1.78556423611111
"231",16,"Lee Nguyen","NE",1e+06,1229,15,1440,0.853472222222222,0.41,1,0.204081632653061,1.02765022675737,1.77783489229025
"2",22,"Yamil Asad","ATL",3e+05,956,11,1056,0.90530303030303,0.12,0.682057384769801,0.452380952380952,1.02701046431451,1.7767281032641
"392",4,"Clint Dempsey","SEA",7092933.5,996,12,1152,0.864583333333333,0.6,1,0.181818181818182,1.0217803030303,1.76767992424242
"67",10,"Jared Watts","COL",150000,805,9,864,0.931712962962963,0,0.27097360918037,0.825,1.02113281873865,1.76655977641787
"116",13,"Lloyd Sam","DC",490000,1058,13,1248,0.84775641025641,0.08,0.75980105549244,0.444444444444444,1.02090684209393,1.7661688368225
"277",4,"Bradley Wright-Phillips","NYRB",3135000,1244,15,1440,0.863888888888889,0.48,1,0.179487179487179,1.01894586894587,1.76277635327635
"297",12,"Leo Pereira",NA,NA,270,3,288,0.9375,NA,0.0840419528574552,1,1.01628933080386,1.75818054229069
"68",2,"Axel Sjoberg","COL",231700,270,3,288,0.9375,0.04,0.206891829418326,0.875,1.01427359007968,1.75469331083785
"362",5,"Chris Schuler","RSL",260000,1069,12,1152,0.927951388888889,0.04,0.151527766766632,0.938775510204082,1.01174844017508,1.75032480150289
"117",14,"Luciano Acosta","DC",1102000,774,11,1056,0.732954545454545,0.23,1,0.377777777777778,1.00984848484848,1.74703787878788
"448",7,"Drew Moor","TOR",508500,691,8,768,0.899739583333333,0.04,0.171314872273783,0.95,1.00889137596508,1.74538208041959
"471",10,"Fredy Montero","VAN",3200000.08,975,13,1248,0.78125,0.59,1,0.282608695652174,1.00203804347826,1.73352581521739
"342",21,"Vytautas Andriuskevicius","POR",466875,720,8,768,0.9375,0.02,0.251347569304974,0.815789473684211,1.00044097780236,1.73076289159808
"162",8,"Daniel Steres","LA",217062.6,1033,12,1152,0.896701388888889,0.15,0.272536598255332,0.843137254901961,1.00042629367316,1.73073748805457
"363",9,"Demar Phillips","RSL",317841.33,755,9,864,0.873842592592593,0.01,0.246838088411499,0.897959183673469,1.00037261623166,1.73064462608076
"257",2,"Alexander Ring","NYC",716666.83,1254,14,1344,0.933035714285714,0.06,0.257905251032014,0.809523809523809,0.995949435965031,1.7229925242195
"118",8,"Jared Jeffrey","DC",220000,1000,13,1248,0.801282051282051,0.06,0.307048301862705,0.933333333333334,0.993895541022467,1.71943928596887
"343",17,"Marco Farfan","POR",106000,355,4,384,0.924479166666667,0,0.150732926743769,0.921052631578947,0.990843419803553,1.71415911626015
"432",9,"Ilie Sanchez","SKC",605000,1350,15,1440,0.9375,0.03,0.337634890356693,0.717948717948718,0.989609632786323,1.71202466472034
"232",15,"Kelyn Rowe","NE",395000,1265,15,1440,0.878472222222222,0.1,0.450378792536592,0.673469387755102,0.987269408381245,1.70797607649955
"25",3,"Brandon Vincent","CHI",214375,1260,14,1344,0.9375,0.03,0.306352874602502,0.744186046511628,0.984880238544496,1.70384281268198
"26",11,"Joao Meira","CHI",315000,1260,14,1344,0.9375,0.01,0.165263998504074,0.883720930232558,0.983423370690592,1.70132243129473
"27",22,"Nemanja Nikolic","CHI",3606333.41,1209,14,1344,0.899553571428571,0.58,1,0.0930232558139535,0.983232973421927,1.70099304401993
"344",10,"Fanendo Adi","POR",2926258,1163,13,1248,0.931891025641026,0.5,0.706252972137219,0.342105263157895,0.97695563112838,1.6901332418521
"449",13,"Jozy Altidore","TOR",9750000,1036,13,1248,0.830128205128205,0.6,1,0.175,0.975400641025641,1.68744310897436
"472",7,"Cristian Techera","VAN",729000,932,12,1152,0.809027777777778,0.28,0.854942834133235,0.347826086956522,0.973073467409421,1.6834170986183
"28",13,"John Goossens","CHI",463333.33,90,1,96,0.9375,0.07,0.312372085724939,0.720930232558139,0.968720923390386,1.67588719746537
